COMPANY_NAME,STATE,CITY,TRANSACTION_YEAR,YEARLY_CARD_REVENUE,YEARLY_CARD_TRANSACTIONS,avg_basket_size,YoY_revenue_growth_L1,YoY_revenue_growth_L2,YoY_transactions_growth_L1,YoY_transactions_growth_L2,YoY_basket_size_growth_L1,YoY_basket_size_growth_L2
JAMARI INTERNATIONAL LTD,NY,NEW YORK,2018-12-31,84550654.19,54594.54,1548.7016502016502,0.031248080527368938,0.3549382770688274,-0.20052770448548818,0.16538461538461524,0.28991096541212147,0.16265330705575964
JAMARI INTERNATIONAL LTD,NY,NEW YORK,2019-03-31,77382526.22,41441.399999999994,1867.275869541087,-0.08477909530885441,-0.05618019877873415,-0.24092409240924106,-0.39313984168865446,0.2057040613974659,0.5552508898385209
JAMARI INTERNATIONAL LTD,NY,NEW YORK,2019-06-30,52208275.71,45585.54,1145.2815017656915,-0.32532215914519413,-0.3825207361177958,0.10000000000000009,-0.16501650165016502,-0.38665650831381293,-0.26048926104226144
JAMARI INTERNATIONAL LTD,NY,NEW YORK,2019-09-30,84151445.58,66486.42,1265.6937398644716,0.6118411197380647,0.08747348646586994,0.45849802371541504,0.6043478260869568,0.10513767830279219,-0.32217099759579926
JAMARI INTERNATIONAL LTD,NY,NEW YORK,2019-12-31,45330985.302,30990.96,1462.7163954262792,-0.46131661803830415,-0.13172797443457263,-0.5338753387533876,-0.32015810276679846,0.15566376711549856,0.27716757248868107
JAMARI INTERNATIONAL LTD,NY,NEW YORK,2020-03-31,71399090.77,41981.94,1700.7096568190987,0.5750615234663754,-0.15154053174139193,0.35465116279069786,-0.36856368563685626,0.1627063606704573,0.3436976128215723
JAMARI INTERNATIONAL LTD,NY,NEW YORK,2020-06-30,30633412.616,27207.18,1125.931192280861,-0.5709551440272493,-0.3242279555161477,-0.351931330472103,-0.12209302325581395,-0.3379638977374112,-0.23024641290581072
JAMARI INTERNATIONAL LTD,NY,NEW YORK,2020-09-30,73549189.52,44504.46,1652.6251418397167,1.4009466539677935,0.030113811349869568,0.6357615894039734,0.060085836909871126,0.46778520141350954,-0.028273206297491305
JAMARI INTERNATIONAL LTD,NY,NEW YORK,2020-12-31,45762747.023,34414.38,1329.7565442992145,-0.3777939998841743,0.49388341405677627,-0.22672064777327938,0.2649006622516554,-0.19536710979785898,0.18102824880928403
JAMARI INTERNATIONAL LTD,NY,NEW YORK,2021-03-31,51140543.45,40720.68,1255.8862830876105,0.11751472052796919,-0.30467563566973743,0.18324607329842935,-0.08502024291497978,-0.055551718491849034,-0.24006584960365118
JAMARI INTERNATIONAL LTD,NY,NEW YORK,2021-06-30,53916956.896,33333.3,1617.5103243903243,0.054289869811698255,0.17818444921808907,-0.18141592920353977,-0.03141361256544484,0.28794330041861516,0.21639583676029717
JAMARI INTERNATIONAL LTD,NY,NEW YORK,2021-09-30,78656398.82,43963.92,1789.112499977254,0.458843439026422,0.5380438594068164,0.31891891891891877,0.07964601769911495,0.10609031237659039,0.4245816074833628
JAMARI INTERNATIONAL LTD,NY,NEW YORK,2021-12-31,35495287.03,36576.54,970.438620766207,-0.5487298228434201,-0.34166746282683225,-0.1680327868852458,0.09729729729729719,-0.45758658509258376,-0.4000417764678028
JAMARI INTERNATIONAL LTD,NY,NEW YORK,2022-03-31,115663626.66999999,50630.58,2284.461814776761,2.2585629346296905,0.4704922727862053,0.3842364532019704,0.1516393442622952,1.354050803308993,0.2768687350883774
JAMBOREE DENTISTRY II PLLC,TX,HOUSTON,2017-03-31,28625.1108,71.5,400.3512,,,,,,
JAMBOREE DENTISTRY II PLLC,TX,HOUSTON,2017-06-30,7168.7044,37.18,192.8107692307692,-0.7495658811563447,,-0.48,,-0.5183959253006629,
JAMBOREE DENTISTRY II PLLC,TX,HOUSTON,2017-09-30,22151.1004,51.48,430.28555555555556,2.0899726315957454,-0.22616542675530882,0.3846153846153846,-0.28,1.2316469005969277,0.07477024061762672
JAMBOREE DENTISTRY II PLLC,TX,HOUSTON,2017-12-31,19158.9684,37.18,515.303076923077,-0.13507825552540031,1.6725845188985615,-0.2777777777777778,0.0,0.19758395388790717,1.672584518898562
